split_seed,clause_category,model,threshold,missing_precision,missing_recall,missing_f1,missing_auroc,balanced_accuracy,n_test,n_missing_test,n_present_test,val_missing_f1_at_selected_threshold
42,Non-Transferable License,TextOnly,0.4099999999999999,0.7798165137614679,0.9239130434782609,0.845771144278607,0.8448067632850241,0.6286231884057971,128,92,36,0.8888888888888888
42,Non-Transferable License,TextPlusLayout,0.3,0.819047619047619,0.9347826086956522,0.8730964467005076,0.8282004830917876,0.7035024154589372,128,92,36,0.8518518518518519
42,Notice Period To Terminate Renewal,FrequencyPrior,0.05,0.796875,1.0,0.8869565217391304,0.5,0.5,128,102,26,
42,Notice Period To Terminate Renewal,TextOnly,0.42999999999999994,0.8220338983050848,0.9509803921568627,0.8818181818181818,0.7582956259426847,0.5716440422322775,128,102,26,0.9333333333333333
42,Notice Period To Terminate Renewal,TextPlusLayout,0.12,0.816,1.0,0.8986784140969163,0.8065610859728507,0.5576923076923077,128,102,26,0.9064748201438849
42,Parties,FrequencyPrior,0.05,0.1015625,1.0,0.18439716312056736,0.5,0.5,128,13,115,
42,Parties,TextOnly,0.43999999999999995,0.36363636363636365,0.6153846153846154,0.45714285714285713,0.7993311036789298,0.7468227424749164,128,13,115,0.38095238095238093
42,Parties,TextPlusLayout,0.63,0.3333333333333333,0.38461538461538464,0.35714285714285715,0.7036789297658863,0.6488294314381271,128,13,115,0.375
42,Post-Termination Services,FrequencyPrior,0.05,0.7109375,1.0,0.8310502283105022,0.5,0.5,128,91,37,
42,Post-Termination Services,TextOnly,0.4099999999999999,0.7884615384615384,0.9010989010989011,0.841025641025641,0.7621027621027621,0.6532521532521532,128,91,37,0.8235294117647058
42,Post-Termination Services,TextPlusLayout,0.5099999999999999,0.8904109589041096,0.7142857142857143,0.7926829268292683,0.8357588357588357,0.7490347490347491,128,91,37,0.8192771084337349
42,Price Restrictions,FrequencyPrior,0.05,0.984375,1.0,0.9921259842519685,0.5,0.5,128,126,2,
42,Price Restrictions,TextOnly,0.05,0.984375,1.0,0.9921259842519685,0.5793650793650793,0.5,128,126,2,0.9868421052631579
42,Price Restrictions,TextPlusLayout,0.05,0.984375,1.0,0.9921259842519685,0.4801587301587302,0.5,128,126,2,0.9868421052631579
42,Renewal Term,FrequencyPrior,0.05,0.6875,1.0,0.8148148148148148,0.5,0.5,128,88,40,
42,Renewal Term,TextOnly,0.42999999999999994,0.7647058823529411,0.8863636363636364,0.8210526315789474,0.8275568181818181,0.6431818181818182,128,88,40,0.8545454545454545
42,Renewal Term,TextPlusLayout,0.29,0.78,0.8863636363636364,0.8297872340425532,0.8417613636363637,0.6681818181818182,128,88,40,0.8547008547008547
42,Revenue/Profit Sharing,FrequencyPrior,0.05,0.6953125,1.0,0.8202764976958525,0.5,0.5,128,89,39,
42,Revenue/Profit Sharing,TextOnly,0.4099999999999999,0.7567567567567568,0.9438202247191011,0.84,0.7896859694612502,0.6257562662057043,128,89,39,0.8380952380952381
42,Revenue/Profit Sharing,TextPlusLayout,0.4599999999999999,0.891566265060241,0.8314606741573034,0.8604651162790697,0.9020455200230482,0.8003457216940364,128,89,39,0.875
42,Rofr/Rofo/Rofn,FrequencyPrior,0.05,0.8203125,1.0,0.9012875536480687,0.5,0.5,128,105,23,
42,Rofr/Rofo/Rofn,TextOnly,0.36999999999999994,0.824,0.9809523809523809,0.8956521739130435,0.6732919254658385,0.5122153209109731,128,105,23,0.8787878787878788
42,Rofr/Rofo/Rofn,TextPlusLayout,0.27999999999999997,0.8620689655172413,0.9523809523809523,0.9049773755656109,0.7751552795031056,0.6283643892339544,128,105,23,0.8661417322834646
42,Termination For Convenience,FrequencyPrior,0.05,0.6796875,1.0,0.8093023255813954,0.5,0.5,128,87,41,
42,Termination For Convenience,TextOnly,0.4099999999999999,0.7129629629629629,0.8850574712643678,0.7897435897435897,0.7089991589571069,0.5644799551443791,128,87,41,0.8173913043478261
42,Termination For Convenience,TextPlusLayout,0.22999999999999998,0.7131147540983607,1.0,0.8325358851674641,0.7359125315391085,0.573170731707317,128,87,41,0.7833333333333333
42,Third Party Beneficiary,FrequencyPrior,0.05,0.9375,1.0,0.967741935483871,0.5,0.5,128,120,8,
42,Third Party Beneficiary,TextOnly,0.05,0.9375,1.0,0.967741935483871,0.5697916666666667,0.5,128,120,8,0.9733333333333334
