split_seed,contract_id,model,k,precision_at_k,recall_at_k,n_missing_eligible_categories
42,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,TextOnly,5,1.0,0.3125,16
42,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,TextOnly,10,0.8,0.5,16
42,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,TextOnly,3,1.0,0.14285714285714285,21
42,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,TextOnly,5,1.0,0.23809523809523808,21
42,WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement,TextOnly,10,0.9,0.42857142857142855,21
42,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,TextOnly,3,1.0,0.25,12
42,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,TextOnly,5,1.0,0.4166666666666667,12
42,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,TextOnly,10,0.8,0.6666666666666666,12
42,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,TextOnly,3,1.0,0.1111111111111111,27
42,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,TextOnly,5,1.0,0.18518518518518517,27
42,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,TextOnly,10,1.0,0.37037037037037035,27
42,"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",TextOnly,3,1.0,0.09375,32
42,"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",TextOnly,5,1.0,0.15625,32
42,"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",TextOnly,10,1.0,0.3125,32
