split_seed,clause_category,model,precision,recall,f1,auroc
44,Anti-Assignment,TextPlusLayoutPlusRetrieval,0.9010989010989011,0.8723404255319149,0.8864864864864865,0.8663954943679599
44,Audit Rights,TextOnly,0.84,0.7777777777777778,0.8076923076923077,0.9076576576576576
44,Audit Rights,TextPlusLayout,0.7258064516129032,0.8333333333333334,0.7758620689655172,0.8688688688688688
44,Audit Rights,TextPlusLayoutPlusRetrieval,0.7,0.7777777777777778,0.7368421052631579,0.8383383383383383
44,Cap On Liability,TextOnly,0.7916666666666666,0.8382352941176471,0.8142857142857143,0.8799019607843137
44,Cap On Liability,TextPlusLayout,0.8,0.8235294117647058,0.8115942028985508,0.8693627450980392
44,Cap On Liability,TextPlusLayoutPlusRetrieval,0.7878787878787878,0.7647058823529411,0.7761194029850746,0.8473039215686274
44,Change Of Control,TextOnly,0.5454545454545454,0.5294117647058824,0.5373134328358209,0.8138297872340425
44,Change Of Control,TextPlusLayout,0.4186046511627907,0.5294117647058824,0.4675324675324675,0.7653316645807259
44,Change Of Control,TextPlusLayoutPlusRetrieval,0.4666666666666667,0.6176470588235294,0.5316455696202531,0.7869211514392992
44,Competitive Restriction Exception,TextOnly,0.4583333333333333,0.6470588235294118,0.5365853658536586,0.8738738738738738
44,Competitive Restriction Exception,TextPlusLayout,0.41025641025641024,0.9411764705882353,0.5714285714285714,0.8791732909379969
44,Competitive Restriction Exception,TextPlusLayoutPlusRetrieval,0.3902439024390244,0.9411764705882353,0.5517241379310345,0.8961314255431903
44,Covenant Not To Sue,TextOnly,0.42857142857142855,0.5,0.46153846153846156,0.7676282051282051
44,Covenant Not To Sue,TextPlusLayout,0.42105263157894735,0.6666666666666666,0.5161290322580645,0.8056891025641026
44,Covenant Not To Sue,TextPlusLayoutPlusRetrieval,0.3333333333333333,0.4583333333333333,0.38596491228070173,0.7379807692307692
44,Document Name,TextOnly,0.9067796610169492,0.9469026548672567,0.9264069264069265,0.7852507374631269
44,Document Name,TextPlusLayout,0.9387755102040817,0.8141592920353983,0.8720379146919431,0.7775811209439527
44,Document Name,TextPlusLayoutPlusRetrieval,0.9591836734693877,0.831858407079646,0.8909952606635071,0.8572271386430679
44,Effective Date,TextOnly,0.6792452830188679,0.6206896551724138,0.6486486486486487,0.7458128078817735
44,Effective Date,TextPlusLayout,0.5882352941176471,0.6896551724137931,0.6349206349206349,0.7142857142857142
44,Effective Date,TextPlusLayoutPlusRetrieval,0.6461538461538462,0.7241379310344828,0.6829268292682927,0.7746305418719212
44,Exclusivity,TextOnly,0.5918367346938775,0.7631578947368421,0.6666666666666666,0.8441520467836257
44,Exclusivity,TextPlusLayout,0.5084745762711864,0.7894736842105263,0.6185567010309279,0.8555555555555556
