label,precision,recall,f1-score,support,model,split_seed
Notice Period To Terminate Renewal,0.4838709677419355,0.6,0.5357142857142857,25.0,TFIDF_LogisticRegression,43
Parties,0.8482142857142857,0.9595959595959596,0.9004739336492891,198.0,TFIDF_LogisticRegression,43
Post-Termination Services,0.7142857142857143,0.625,0.6666666666666666,104.0,TFIDF_LogisticRegression,43
Price Restrictions,0.5,0.75,0.6,4.0,TFIDF_LogisticRegression,43
Renewal Term,0.7083333333333334,0.4594594594594595,0.5573770491803278,37.0,TFIDF_LogisticRegression,43
Revenue/Profit Sharing,0.7582417582417582,0.9324324324324325,0.8363636363636363,74.0,TFIDF_LogisticRegression,43
Rofr/Rofo/Rofn,0.6428571428571429,0.6585365853658537,0.6506024096385542,41.0,TFIDF_LogisticRegression,43
Source Code Escrow,0.6176470588235294,0.9130434782608695,0.7368421052631579,23.0,TFIDF_LogisticRegression,43
Termination For Convenience,0.59375,0.8085106382978723,0.6846846846846847,47.0,TFIDF_LogisticRegression,43
Third Party Beneficiary,1.0,0.625,0.7692307692307693,8.0,TFIDF_LogisticRegression,43
Uncapped Liability,0.45714285714285713,0.5517241379310345,0.5,29.0,TFIDF_LogisticRegression,43
Volume Restriction,0.6052631578947368,0.5897435897435898,0.5974025974025974,39.0,TFIDF_LogisticRegression,43
Warranty Duration,0.5263157894736842,0.9090909090909091,0.6666666666666666,11.0,TFIDF_LogisticRegression,43
accuracy,0.7373188405797102,0.7373188405797102,0.7373188405797102,0.7373188405797102,TFIDF_LogisticRegression,43
macro avg,0.6697925008210193,0.6825573089068379,0.6612916427196319,2208.0,TFIDF_LogisticRegression,43
weighted avg,0.7452101981862287,0.7373188405797102,0.7339334999990903,2208.0,TFIDF_LogisticRegression,43
Affiliate License-Licensee,0.3333333333333333,0.36363636363636365,0.34782608695652173,22.0,TFIDF_LinearSVM,43
Affiliate License-Licensor,0.0,0.0,0.0,4.0,TFIDF_LinearSVM,43
Agreement Date,0.5882352941176471,0.9375,0.7228915662650602,32.0,TFIDF_LinearSVM,43
Anti-Assignment,0.8235294117647058,0.8448275862068966,0.8340425531914893,116.0,TFIDF_LinearSVM,43
Audit Rights,0.8940397350993378,0.9507042253521126,0.9215017064846417,142.0,TFIDF_LinearSVM,43
Cap On Liability,0.8220338983050848,0.8220338983050848,0.8220338983050848,118.0,TFIDF_LinearSVM,43
Change Of Control,0.7592592592592593,0.6612903225806451,0.7068965517241379,62.0,TFIDF_LinearSVM,43
Competitive Restriction Exception,0.5,0.2222222222222222,0.3076923076923077,27.0,TFIDF_LinearSVM,43
