dataset,model,seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
LexGLUE_ledgar,SBERT_plus_PortableStructure,87,0.8659420289855072,0.8700747169497169,0.8662087912087912,0.8650196903990007,0.8659420289855072
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,87,0.9021739130434783,0.908104183398301,0.9021978021978022,0.9010160723283638,0.9021739130434783
LexGLUE_ledgar,MajorityBaseline,101,0.04710144927536232,0.002355072463768116,0.05,0.004498269896193772,0.04710144927536232
LexGLUE_ledgar,TFIDF_LinearSVM,101,0.8913043478260869,0.8895718864468865,0.8903846153846156,0.887565379703311,0.8913043478260869
LexGLUE_ledgar,TFIDF_plus_PortableStructure,101,0.8876811594202898,0.8861240842490842,0.8865384615384617,0.8833306246754524,0.8876811594202898
LexGLUE_ledgar,PortableStructureOnly,101,0.36231884057971014,0.36715392699088356,0.3626373626373627,0.3388569105311997,0.36231884057971014
LexGLUE_ledgar,SBERT_LinearSVM,101,0.8840579710144928,0.8855808652132182,0.8829670329670328,0.8814443606901893,0.8840579710144928
LexGLUE_ledgar,SBERT_plus_PortableStructure,101,0.8768115942028986,0.880510935143288,0.8758241758241757,0.8755000355389676,0.8768115942028986
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,101,0.8913043478260869,0.892603021978022,0.8903846153846153,0.8893189409568718,0.8913043478260869
LexGLUE_unfair_tos,MajorityBaseline,13,0.109375,0.009943181818181818,0.09090909090909091,0.017925736235595388,0.109375
LexGLUE_unfair_tos,TFIDF_LinearSVM,13,0.7421875,0.7396877038588269,0.7023809523809524,0.696539099257286,0.7421875
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,13,0.7109375,0.6780712973894792,0.6753246753246753,0.6698435655253838,0.7109375
LexGLUE_unfair_tos,PortableStructureOnly,13,0.3359375,0.3212020302929394,0.3376623376623377,0.31703870580162385,0.3359375
LexGLUE_unfair_tos,SBERT_LinearSVM,13,0.8046875,0.7845994914176733,0.7745310245310246,0.7729179247139786,0.8046875
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,13,0.7109375,0.6958122685395411,0.6886724386724387,0.6880058500409928,0.7109375
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,13,0.7734375,0.7645493395493397,0.7420634920634921,0.7472749267042095,0.7734375
LexGLUE_unfair_tos,MajorityBaseline,21,0.109375,0.009943181818181818,0.09090909090909091,0.017925736235595388,0.109375
LexGLUE_unfair_tos,TFIDF_LinearSVM,21,0.7578125,0.7210664335664336,0.7052669552669554,0.7004783588639388,0.7578125
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,21,0.71875,0.7021890390311443,0.6890331890331892,0.676632048953448,0.71875
LexGLUE_unfair_tos,PortableStructureOnly,21,0.40625,0.3621974641676302,0.3791486291486292,0.3648793156577543,0.40625
LexGLUE_unfair_tos,SBERT_LinearSVM,21,0.78125,0.7578906473643315,0.7561327561327562,0.7441664778968854,0.78125
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,21,0.75,0.7159037931765204,0.7052669552669552,0.6978981941384831,0.75
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,21,0.78125,0.7478902559116464,0.7431457431457432,0.7324642403464284,0.78125
LexGLUE_unfair_tos,MajorityBaseline,42,0.109375,0.009943181818181818,0.09090909090909091,0.017925736235595388,0.109375
LexGLUE_unfair_tos,TFIDF_LinearSVM,42,0.7421875,0.7031482406482407,0.7095959595959597,0.7007360755186842,0.7421875
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,42,0.7265625,0.6967574092574093,0.6919191919191919,0.6901837107813665,0.7265625
LexGLUE_unfair_tos,PortableStructureOnly,42,0.359375,0.31424242424242427,0.33658008658008653,0.30475621273777154,0.359375
LexGLUE_unfair_tos,SBERT_LinearSVM,42,0.75,0.728856348642445,0.752886002886003,0.7345262999592371,0.75
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,42,0.734375,0.7115190365190365,0.7388167388167389,0.7169789214616801,0.734375
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,42,0.7421875,0.6987345987345988,0.7106782106782107,0.6998855375987861,0.7421875
LexGLUE_unfair_tos,MajorityBaseline,87,0.109375,0.009943181818181818,0.09090909090909091,0.017925736235595388,0.109375
LexGLUE_unfair_tos,TFIDF_LinearSVM,87,0.7890625,0.7747333252012397,0.7824675324675325,0.773391234499229,0.7890625
